sa8l,sahl,sehl,suhl,si8l,so8l,sa8l,sahl,se8l,sy8l,su8l,s8l,,,,,,,,,easy
m3TTl,m3TTel,m3aTTal,m3Tal,,,,,,,,,,,,,,,,,late
7a9i9ia,haqiqia,7y9i9ia,7u9i9ia,7ki9ia,79i9i,7i9i9ia,7o9i9i,h9i9ia,79i9ie,7o9i9ia,79i9io,ha9i9ia,7qi9ia,7u9i9i,7aqi9ia,7a9i9ia,79i9iy,7y9i9i,7i9i9i,real
3adi,3edi,3udi,3adi,,,,,,,,,,,,,,,,,normal
gadd,gidd,gedd,gadd,gudd,,,,,,,,,,,,,,,,able
bsiT,basiT,,,,,,,,,,,,,,,,,,,simple
m399d,m3a99ad,m3e99ed,m3a99ed,m399d,m3k9d,m3q9d,,,,,,,,,,,,,,complex
t9il,tqil,t9il,,,,,,,,,,,,,,,,,,slow
t9il,tqil,t9il,,,,,,,,,,,,,,,,,,heavy
was3,waas3,wase3,wasa3,wus3,was3,wes3,,,,,,,,,,,,,,wide
nachT,nacheT,nachT,nechT,nuchT,,,,,,,,,,,,,,,,happy
n9i,nqi,n9i,,,,,,,,,,,,,,,,,,clean
khayb,khayeb,5ayb,khayb,kheyb,khuyb,,,,,,,,,,,,,,,bad
3aadil,3adil,3uadil,3yedil,3uudil,3adil,3iedil,3uidil,3edil,3yudil,3oudil,3eedil,3yadil,3oedil,3eadil,3aadil,3uedil,3udil,3iadil,3iudil,fair
ghany,ghani,ghuny,gheny,ghany,,,,,,,,,,,,,,,,rich
fa9ir,faqir,fi9ir,faqir,fu9ir,fe9ir,fakir,fo9ir,fuqir,f9ir,fy9ir,fukir,feqir,fa9ir,fekir,,,,,,poor
Tabi3i,Taby3i,Tabi3i,Tubi3i,Tebi3i,,,,,,,,,,,,,,,,natural
mfrou9,mafrou9,mefro9,mafro9,mfro9,mfroy9,mfrouq,mfrou9,mfrouk,mfroo9,,,,,,,,,,,separate
mch8our,mech8our,mch8or,mach8our,mch8our,mchhour,mch8or,mch8oyr,mch8oor,,,,,,,,,,,,famous
fr7an,far7an,fer7an,farhan,frhan,fr7on,fr7un,fr7n,fr7an,fr7en,fr7yn,frhen,frhun,fr7in,,,,,,,glad
dourijin,dorijin,dourijin,,,,,,,,,,,,,,,,,,original
khayf,5ayf,khayef,5ayef,khayf,khuyf,kheyf,,,,,,,,,,,,,,afraid
Dakhm,Da5m,Dukhm,Dekhm,Dakhm,,,,,,,,,,,,,,,,huge
3imla9,3imluk,3imli9,3imly9,3imluq,3imlu9,3imle9,3imlak,3iml9,3imlek,3imla9,3imlaq,3imleq,3imlo9,,,,,,,giant
za8i,zaa8i,zahi,zaahi,zi8i,zo8i,ze8i,zuhi,zy8i,z8i,zu8i,za8i,zehi,zahi,,,,,,,cheerful
fakhour,fakhor,fa5our,fa5or,fakhor,fikhour,fekhoor,fekhoyr,fokhour,fekhour,fekhor,fakhoyr,fukhour,fukhor,fukhoor,fukhoyr,fykhour,fakhour,fakhoor,fkhour,proud
raDi,raaDi,reDi,ruDi,raDi,,,,,,,,,,,,,,,,satisfied
7azin,huzin,7uzin,7izin,7ezin,7ozin,7yzin,7zin,hazin,hezin,7azin,,,,,,,,,,sad
nadm,naadm,naadem,nadm,nedm,nudm,,,,,,,,,,,,,,,regretful
mkta2b,mkta2b,mekta2eb,mekta2ab,mkti2b,mkto2b,mkty2b,mktiub,mkteib,mktyub,mktab,mktuab,mktoab,mktuib,mkte2b,mkt2b,mktiab,mktuub,mkta2b,mkteab,depressed
mskin,meskin,maskin,miskin,,,,,,,,,,,,,,,,,miserable
mrta7,merta7,marta7,mrto7,mrti7,mrty7,mrtah,mrteh,mrtu7,mrt7,mrta7,mrte7,mrtuh,,,,,,,,comfortable
mchghoul,mchghol,mechghoul,machghoul,mchghoul,,,,,,,,,,,,,,,,busy
mchTon,mchToun,mechTon,machToun,,,,,,,,,,,,,,,,,worried
m3SSb,m3eSSeb,m3aSSab,m3aSSeb,,,,,,,,,,,,,,,,,nervous
mochaghib,mochaaghib,mocheghib,mochughib,mochaghib,,,,,,,,,,,,,,,,troublemaker
ghDban,ghaDban,gheDban,ghDban,ghDben,ghDbun,,,,,,,,,,,,,,,angry
mrg,mreg,mrag,,,,,,,,,,,,,,,,,,embarrassed
7chman,7echman,7achman,7chmyn,7chmin,7chmen,7chmon,7chmn,hchmun,7chmun,hchman,7chman,hchmen,,,,,,,,shy
kalm,calm,kelm,kulm,kalm,,,,,,,,,,,,,,,,calm
wa7id,wa7yd,wahid,wuhid,wi7id,wu7id,wehid,wahid,wy7id,wo7id,we7id,w7id,wa7id,,,,,,,,lonely
mnba8er,mnba8ar,mnba8r,menba8ar,mnbu8er,mnb8ur,mnbehr,mnba8er,mnb8yr,mnbahr,mnbo8r,mnb8or,mnba8r,mnbe8r,mnbi8er,mnbe8ur,mnba8yr,mnbaher,mnbher,mnbe8er,amazed
mstghrb,msteghreb,mstaghreb,mestaghreb,,,,,,,,,,,,,,,,,astonished
mchoki,,,,,,,,,,,,,,,,,,,,shocked
mrwwn,mrewwen,mrawwen,,,,,,,,,,,,,,,,,,confused
mtredded,mtradded,mtraddad,mtrdded,mtrddud,mtruddud,mtrydded,mtruddd,mtryddud,mtriddud,mtrodded,mtredded,mtruddid,mtroddud,mtridded,mtrudded,,,,,hesitant
3yyan,3eyyan,3yyun,3yyen,3yyan,,,,,,,,,,,,,,,,tired
Tmma3,Tamma3,Temma3,Tmme3,Tmmu3,Tmma3,,,,,,,,,,,,,,,greedy
anani,anaani,onuni,nuni,ynuni,onani,unani,ynani,neni,unini,inuni,eneni,enani,nani,ineni,unni,oneni,uneni,inani,yneni,selfish
skhi,s5i,,,,,,,,,,,,,,,,,,,generous
s9ram,se9ram,s9rom,s9rm,skrem,s9rem,s9rum,s9ram,skram,sqrem,skrum,s9rim,s9rym,sqram,sqrum,,,,,,stingy
bakhil,ba5il,bakhil,bukhil,bekhil,,,,,,,,,,,,,,,,stingy
Drief,Drayaf,Drayef,Dryef,Drief,Driuf,,,,,,,,,,,,,,,kind
Sbbar,Sabbar,Sbbur,Sbber,Sbbar,,,,,,,,,,,,,,,,patient
m2ddb,m2ddeb,m2eddeb,m2addeb,muddb,maddb,m2ddb,meddb,,,,,,,,,,,,,polite
m3gaz,me3gaz,ma3gaz,m3gez,m3gaz,m3guz,m3giz,,,,,,,,,,,,,,lazy
mojta8id,mojtahid,moujta8id,mojtuhid,mojta8id,mojtehid,mojt8id,mojti8id,mojte8id,mojtahid,mojtu8id,mojto8id,mojty8id,,,,,,,,hardworking
choja3,chojaa3,choje3,choju3,choja3,,,,,,,,,,,,,,,,brave
za3em,zaa3em,za3m,zu3m,zu3om,ze3em,ze3um,za3um,z3um,zo3um,zu3ym,ze3om,ze3im,za3om,z3em,zu3im,zo3em,zi3em,zu3em,za3ym,brave
fDoli,fDouli,,,,,,,,,,,,,,,,,,,curious
mghrour,mghror,mghrour,,,,,,,,,,,,,,,,,,arrogant
mtwaD3,metwaDe3,mtwaDa3,mtwuD3,mtweD3,mtwaD3,,,,,,,,,,,,,,,humble
ja8il,jaa8il,jahil,juhil,je8il,jy8il,jehil,j8il,jahil,ja8il,ji8il,ju8il,jo8il,,,,,,,,ignorant
3abiT,3abiT,3ubiT,3ebiT,,,,,,,,,,,,,,,,,silly
dki,,,,,,,,,,,,,,,,,,,,smart
7akim,hakim,hukim,7ykim,hakim,7ekim,7ikim,7okim,7akim,hekim,7ukim,7kim,,,,,,,,,wise
nabigha,naabigha,nubigh,nbighu,nybighu,nobighe,nubighu,nybighe,nebigha,nibigha,nubighi,nubighe,nobigha,nebighe,nbigha,nibighu,nobighu,nybigha,nibighe,nbighe,genius
amine,eminy,aminy,iminu,uminy,umin,umino,amin,ominu,mine,amini,umine,amine,emino,emin,amino,emine,minu,imine,ymine,trustworthy
kddab,keddab,kaddab,kddeb,kddab,kddub,,,,,,,,,,,,,,,liar
ghddar,gheddar,ghaddar,ghddur,ghdder,ghddar,,,,,,,,,,,,,,,betrayer
nSSab,neSSab,naSSab,nSSab,nSSeb,nSSub,,,,,,,,,,,,,,,swindler
nyya,nia,nya,nyye,nyyu,nyya,,,,,,,,,,,,,,,naive
mtfa2l,mtfa2el,motafa2il,mtf2l,mtfe2l,mtfeal,mtfuul,mtfail,mtfeel,mtfa2l,mtfial,mtfyel,mtfeil,mtful,mtfuel,mtfoel,mtfy2l,mtfiul,mtfu2l,mtfal,optimistic
mtcha2m,mtcha2em,motacha2im,mtchum,mtchaam,mtchyam,mtchaim,mtcheem,mtcham,mtchuim,mtchem,mtcheim,mtchium,mtchoam,mtchoum,mtchyum,mtchuem,mtchuam,mtcho2m,mtchiem,pessimistic
komik,comic,,,,,,,,,,,,,,,,,,,funny
ytim,yatim,itym,ytym,,,,,,,,,,,,,,,,,orphan
7amla,hamla,hmla,7mla,7omli,7mlu,7umlu,7amla,homla,7uml,7umle,7mly,7imli,7oml,7imly,7umli,7omle,7omla,7yml,7imlu,pregnant
ijabi,ijubi,ijebi,ijabi,,,,,,,,,,,,,,,,,positive
silbi,,,,,,,,,,,,,,,,,,,,negative
waa9i3i,wa9i3i,woaki3i,woaqi3i,wyaqi3i,wou9i3i,wio9i3i,wee9i3i,wyu9i3i,weaqi3i,waki3i,waqi3i,wuaki3i,wiaqi3i,w9i3i,wyo9i3i,wue9i3i,wyy9i3i,woi9i3i,wiaki3i,realistic
tay3yyef,tay3yyf,kay3iyyef,kay3yyaf,tuy3yyuf,tyy3yyef,tiy3yyuf,tuy3yyf,tey3yyof,toy3yyuf,tay3yyof,tay3yyuf,tay3yyif,tey3yyif,ty3yyef,tay3yyyf,tay3yyf,toy3yyef,tuy3yyof,tey3yyef,disgusting
tay3adi,kay3adi,tay3adi,ty3edi,tyy3adi,tuy3edi,toy3udi,tuy3di,tey3edi,toy3adi,tyy3udi,tiy3edi,tuy3adi,tuy3udi,tiy3adi,ty3adi,tuy3idi,tiy3udi,ty3udi,tyy3edi,contagious
3ma,3mu,3ma,3me,,,,,,,,,,,,,,,,,blind
Smk,Smek,Smak,,,,,,,,,,,,,,,,,,deaf
zizoun,zizon,zizoun,,,,,,,,,,,,,,,,,,mute
mchllel,mchallal,mchellal,mchallel,mchllul,mchllel,,,,,,,,,,,,,,,paralyzed
mo3wwa9,mo3a9,mo3aa9,mo3wwuk,mo3wwe9,mo3wwa9,mo3wwu9,mo3ww9,mo3wweq,mo3wwuq,mo3wwo9,mo3wwi9,mo3wwek,mo3wwy9,mo3wwaq,mo3wwak,,,,,handicapped
3agr,3ager,3agar,3egr,3ugr,3agr,,,,,,,,,,,,,,,sterile
mj8oul,mj8ol,mjhoul,mjhoul,mj8oyl,mj8ol,mj8ool,mj8oul,,,,,,,,,,,,,unknown
m9boul,ma9boul,m9bol,mkboul,m9boyl,mqboul,m9boul,m9bol,m9bool,,,,,,,,,,,,acceptable
m39ol,m39oul,m39ol,,,,,,,,,,,,,,,,,,reasonable
mn7az,men7az,ma7az,mn7aaz,mnhez,mn7ez,mn7z,mn7yz,mnhaz,mn7oz,mn7uz,mn7iz,mnhuz,mn7az,,,,,,,biased
mo7ayid,mo7aayid,mo7yid,mo7oyid,moheyid,mo7uyid,mohayid,mo7eyid,mo7yyid,mo7ayid,mohuyid,mo7iyid,,,,,,,,,neutral
waaD7,waaDe7,wyaDh,woyD7,wooD7,woD7,wouD7,wuaD7,waD7,weaDh,wiaDh,woaDh,woeD7,wiaD7,woiD7,wuiD7,wyoD7,waaDh,wyeD7,wyaD7,clear
mojrim,moujrim,,,,,,,,,,,,,,,,,,,criminal
9ttal,9ettal,kttel,9ttul,9ttel,kttal,qttel,qttal,9ttl,9ttal,qttul,kttul,9ttil,9ttyl,9ttol,,,,,,murderer
ghali,gheli,ghali,ghuli,,,,,,,,,,,,,,,,,expensive
rkhiS,,,,,,,,,,,,,,,,,,,,cheap
ga3,gu3,gi3,ge3,ga3,,,,,,,,,,,,,,,,all
lkhrin,khrin,,,,,,,,,,,,,,,,,,,other
zwin,,,,,,,,,,,,,,,,,,,,good
lkher,lkher,lkhur,,,,,,,,,,,,,,,,,,last
b7al,bhul,b7yl,b7el,b7ul,b7ol,b7l,b7al,b7il,bhel,bhal,,,,,,,,,,same
sghir,,,,,,,,,,,,,,,,,,,,little
mghyyer,mghyyur,mghyyer,,,,,,,,,,,,,,,,,,different
lli mora,lli mora,lli moru,lli more,,,,,,,,,,,,,,,,,next
3aDim,3aDim,3eDim,3uDim,,,,,,,,,,,,,,,,,great
ma7lli,ma7alli,mu7lli,mi7lli,mo7lli,my7lli,me7lli,muhlli,m7lli,mehlli,ma7lli,mahlli,,,,,,,,,local
jtima3i,jtimaa3i,jtime3i,jtimu3i,jtima3i,,,,,,,,,,,,,,,,social
mo8im,mohim,mohimm,mo8im,,,,,,,,,,,,,,,,,important
waTani,wiTani,wuTni,wyTeni,woTuni,wTuni,weTeni,wyTuni,waTani,wuTeni,woTeni,wuTani,woTani,weTani,wTeni,wTani,wiTeni,wuTuni,wyTani,wiTuni,national
3aali,3ali,3aali,3oeli,3ieli,3iali,3uli,3eli,3yuli,3ouli,3uuli,3eali,3oali,3eeli,3yali,3ueli,3uali,3ali,3iuli,3uili,high
Twil,,,,,,,,,,,,,,,,,,,,long
ttani,tani,tteni,ttuni,ttani,,,,,,,,,,,,,,,,second
waas3,was3,weas3,wus3,wues3,wyus3,wuus3,wies3,wyas3,wuas3,woas3,wes3,woes3,wyes3,wias3,waas3,was3,wees3,wius3,wuis3,large
3aamm,3amm,3uemm,3uumm,3yamm,3eamm,3iemm,3oemm,3oumm,3eemm,3amm,3yumm,3aamm,3iumm,3umm,3uimm,3oamm,3emm,3iamm,3uamm,general
momkin,moumkin,,,,,,,,,,,,,,,,,,,possible
chaabb,chiabb,chaabb,chuebb,chyubb,chiebb,chyebb,chebb,choubb,choebb,chiubb,cheebb,chuubb,chubb,cheabb,chabb,chuabb,chyabb,chuibb,choabb,young
syasi,siasi,siyasi,syesi,syasi,syusi,,,,,,,,,,,,,,,political
3omoumi,3omomi,3omoumi,,,,,,,,,,,,,,,,,,public
mo7ddad,mo7ddyd,mo7dded,mo7ddod,mohddad,mohdded,mo7ddad,mohddud,mo7ddid,mo7ddd,mo7ddud,,,,,,,,,,particular
mojoud,mojod,mojoud,,,,,,,,,,,,,,,,,,available
bkri,bekri,,,,,,,,,,,,,,,,,,,early
asaasi,asasi,ysasi,asaasi,sasi,esaasi,siasi,ysyasi,saasi,usaasi,usasi,ysiasi,isiasi,syasi,isyasi,isoasi,osiasi,isaasi,osuasi,isasi,main
ra2isi,ri2isi,r2isi,ry2isi,reeisi,ryaisi,riuisi,ryeisi,ryuisi,reisi,ro2isi,riaisi,roeisi,ruuisi,ruiisi,raisi,reaisi,ruaisi,raaisi,raiisi,major
9tiSadi,i9tiSadi,9tiSydi,9tiSedi,9tiSadi,9tiSdi,qtiSadi,ktiSudi,qtiSedi,ktiSadi,9tiSudi,qtiSudi,ktiSedi,9tiSodi,9tiSidi,,,,,,economic
mo2kkad,moakkid,mo2kkid,moykkad,mo2kkd,moakkud,mo2kkod,mookkad,mo2kkad,moakkd,mokkad,mo2kked,mo2kkud,moakkyd,moekkad,moakked,moakkad,moikkad,moukkad,mo2kkyd,sure
ghaliban,ghaaliban,ghliban,ghyliban,ghiliben,ghuliban,ghuliben,gholiban,ghiliban,ghulibun,ghilibun,gholiben,ghylibun,ghlibun,gheliban,ghaliban,gheliben,ghulibn,ghulibin,ghyliben,likely
wa7id,wa7iid,wuhid,wi7id,wu7id,wehid,wahid,wy7id,wo7id,we7id,w7id,wa7id,,,,,,,,,only
dawli,duwli,dawli,dewli,,,,,,,,,,,,,,,,,international
m2kked,mo2kkad,mekkid,mekkd,mykked,mukked,m2kked,m2kkud,makkd,mikked,mukkd,m2kkod,mokked,makked,mekked,m2kkyd,mekkod,mkkud,m2kkid,mekkud,certain
mo3yyan,mo3yyan,mo3yyen,mo3yyun,,,,,,,,,,,,,,,,,certain
momyyaz,momyyuz,momyyez,momyyaz,,,,,,,,,,,,,,,,,special
S3ib,,,,,,,,,,,,,,,,,,,,difficult
m7loul,m7lool,mhloul,m7loyl,m7loul,m7lol,,,,,,,,,,,,,,,open
kollchi,,,,,,,,,,,,,,,,,,,,whole
neSS,nuSS,neSS,,,,,,,,,,,,,,,,,,half
7orr,7orr,,,,,,,,,,,,,,,,,,,free
markazi,mrkezi,mirkezi,merkazi,murkazi,morkuzi,mrkazi,mrkuzi,murkezi,myrkezi,murkuzi,mirkuzi,merkezi,morkezi,markazi,mirkazi,murkizi,morkazi,myrkuzi,myrkazi,central
mochtarak,mochtirak,mochtiruk,mochturek,mochtorak,mochtyrek,mochturk,mochtrak,mochtyrak,mochturuk,mochtarak,mochterak,mochtruk,mochturik,mochtirek,mochtrek,mochtyruk,mochturak,mochterek,mochtoruk,common
cha2i3,chaa2i3,chi2i3,chu2i3,cha2i3,ch2i3,cheai3,chiai3,chuei3,cheii3,chui3,cho2i3,chaai3,chyei3,chyui3,chaii3,chei3,chuai3,chy2i3,chiei3,common
mtchab8,mtchabh,mtchab8,mtchib8,mtchub8,mtchebh,mtcheb8,mtchubh,mtchb8,mtchob8,mtchyb8,,,,,,,,,,similar
Darouri,Darori,Daroori,Dirouri,Duroyri,Derouri,Darouri,Daroyri,Dorouri,Darori,Derori,Dyrouri,Deroyri,Drouri,Duroori,Durori,Deroori,Durouri,,,necessary
S7i7,Shi7,S7i7,,,,,,,,,,,,,,,,,,true
3aazib,3azib,3uzib,3yuzib,3yezib,3oazib,3eezib,3oezib,3iazib,3aazib,3ezib,3uizib,3azib,3ouzib,3eazib,3yazib,3iuzib,3uezib,3uuzib,3uazib,single
wa7id,wuhid,wi7id,wu7id,wehid,wahid,wy7id,wo7id,we7id,w7id,wa7id,,,,,,,,,,single
khaSS,khaaSS,kheSS,khaSS,khuSS,,,,,,,,,,,,,,,,private
chkhSi,chekhSi,chakhSi,,,,,,,,,,,,,,,,,,personal
maali,maali,myeli,mouli,mali,miali,meali,myuli,moali,mieli,muali,muuli,meli,myali,muli,muili,mueli,miuli,moeli,meeli,financial
ajnabi,ejnabi,jnubi,ujnbi,ijnubi,ujnabi,ijnebi,ejnebi,ojnebi,ajnabi,yjnabi,jnabi,ojnubi,ujnibi,yjnebi,ujnubi,ojnabi,yjnubi,jnebi,ijnabi,foreign
chdid,,,,,,,,,,,,,,,,,,,,strong
naa9S,nea9S,nue9S,nu9S,nie9S,noaqS,naakS,nua9S,ne9S,neakS,neaqS,niakS,nye9S,n9S,nio9S,nyakS,nyi9S,nou9S,nakS,noo9S,low
mtnwwe3,mtnowwe3,mtnwwu3,mtnwwe3,,,,,,,,,,,,,,,,,various
7aaDir,7aDir,huaDir,7yoDir,7uaDir,7yyDir,hiaDir,7Dir,7uiDir,7ouDir,7iiDir,7yDir,7oeDir,7uuDir,7oDir,7ooDir,7iuDir,7aDir,7eDir,hyaDir,present
malaki,molaki,moleki,mlaki,muluki,muliki,milaki,mulaki,malaki,mileki,muleki,mylaki,meleki,mleki,miluki,moluki,myleki,melaki,myluki,mluki,royal
khaT2,khaTi2,khaaT2,khoTu,khiT2,khaTi,khyTu,kheTe,khyT2,khuT2,khTa,khuTi,khoT2,khoTe,khuTa,khiTa,kheT2,khyTe,kheTi,khuTu,wrong
bo7do,bo7do,,,,,,,,,,,,,,,,,,,individual
7aali,7ali,7ueli,7ioli,7ouli,7eali,7yyli,7iyli,7yuli,7oeli,7ali,7iali,7yeli,haali,7oli,7uli,hali,7ili,7yili,7oyli,current
9aanouni,9anouni,9anoni,qanouni,9unoni,9nouni,9aanoni,9uanooni,9anoni,9iunoni,9yanouni,9yunoni,9aanouni,9unoyni,9unouni,9anouni,qaanoni,9eanoni,9anooni,quanoni,legal
7adit,7ydit,7adit,7odit,hadit,7edit,7udit,7idit,hudit,7dit,hedit,,,,,,,,,,modern
lkher,llekher,lkher,lkhur,,,,,,,,,,,,,,,,,final
zwin,,,,,,,,,,,,,,,,,,,,nice
mzyan,mzian,mezian,mzyan,mzyen,mzyun,,,,,,,,,,,,,,,fine
9rib,9rib,,,,,,,,,,,,,,,,,,,close
m39ol,m39oul,m39ol,,,,,,,,,,,,,,,,,,serious
saabi9,sabi9,sbi9,seebi9,siibi9,seabiq,syabi9,sibi9,suubi9,syebi9,syybi9,sobi9,suabi9,syubi9,suibi9,seabik,syabik,siabi9,soabiq,soybi9,previous
mo3tabar,mo3tibar,mo3tobar,mo3teber,mo3tubir,mo3tabar,mo3tobur,mo3tuber,mo3tiber,mo3tubar,mo3tebar,mo3tbar,mo3tybar,mo3tubr,mo3tubur,mo3tyber,mo3tybur,mo3tber,mo3tbur,mo3tibur,significant
ra2is,ruis,rais,ry2is,ryuis,riais,riuis,ri2is,ru2is,reiis,ra2is,raais,ruais,ryeis,ryais,raiis,ro2is,ruuis,reeis,reais,prime
Sinaa3i,Sina3i,Sinyu3i,Sinee3i,Sinui3i,Sinu3i,Sinye3i,Sinaa3i,Siniu3i,Sinoa3i,Sina3i,Sinua3i,Sinea3i,Sinuu3i,Sinou3i,Sinia3i,Sinya3i,Sinie3i,Sinue3i,Sinoe3i,industrial
mo7ddad,mo7ddyd,mo7dded,mo7ddod,mohddad,mohdded,mo7ddad,mohddud,mo7ddid,mo7ddd,mo7ddud,,,,,,,,,,specific
monaasib,monasib,monoasib,monuisib,monyasib,monyusib,moneasib,monuesib,monyesib,moniesib,moniasib,moniusib,moneesib,monesib,monousib,monoesib,monuusib,monasib,monuasib,monusib,appropriate
3aali,3aali,3oeli,3ieli,3iali,3uli,3eli,3yuli,3ouli,3uuli,3eali,3oali,3eeli,3yali,3ueli,3uali,3ali,3iuli,3uili,3yeli,top
myyet,myyet,myyut,,,,,,,,,,,,,,,,,,dead
mt2ssef,mtyssef,mt2ssf,mtissef,mtossef,mtussf,mt2ssof,mtassef,mtassf,mt2ssef,mt2ssif,mtessef,mtssuf,mtessyf,mt2ssyf,mt2ssuf,mtessif,mtessuf,mtessf,mtessof,sorry
naaj7,naj7,noej7,niuj7,nuij7,neaj7,niaj7,nej7,noaj7,niej7,nuej7,nyej7,nioj7,nyij7,niajh,noyj7,neej7,nuaj7,nuuj7,nyajh,successful
7rbi,7arbi,7erbi,7rbi,,,,,,,,,,,,,,,,,military
asaasi,asasi,ysasi,asaasi,sasi,esaasi,siasi,ysyasi,saasi,usaasi,usasi,ysiasi,isiasi,syasi,isyasi,isoasi,osiasi,isaasi,osuasi,isasi,basic
wa3i,waa3i,we3i,wu3i,wa3i,,,,,,,,,,,,,,,,aware
mch8our,mch8or,mch8our,mchhour,mch8or,mch8oyr,mch8oor,,,,,,,,,,,,,,popular
mi8ani,mi8ini,mi8ni,mi8eni,mihuni,mi8ani,mihani,mi8oni,miheni,mi8uni,mi8yni,,,,,,,,,,professional
mobachir,mobaachir,mobuchir,mobachir,mobechir,,,,,,,,,,,,,,,,direct
mofid,,,,,,,,,,,,,,,,,,,,useful
f33al,f33aal,f33ul,f33el,f33al,,,,,,,,,,,,,,,,effective
wajd,wajd,wejd,wujd,,,,,,,,,,,,,,,,,ready
mDllem,mDellem,mDallem,mDllum,mDllem,,,,,,,,,,,,,,,,dark
mosta9ill,mosty9ill,mostuqill,mostakill,moste9ill,mostekill,mostu9ill,mosti9ill,mostukill,mosta9ill,mosteqill,most9ill,mostaqill,mosto9ill,,,,,,,independent
t9lidi,t9lidi,,,,,,,,,,,,,,,,,,,traditional
ghrbi,gherbi,gharbi,,,,,,,,,,,,,,,,,,western
mo3tabar,mo3tibar,mo3tobar,mo3teber,mo3tubir,mo3tabar,mo3tobur,mo3tuber,mo3tiber,mo3tubar,mo3tebar,mo3tbar,mo3tybar,mo3tubr,mo3tubur,mo3tyber,mo3tybur,mo3tber,mo3tbur,mo3tibur,considerable
bard,baard,burd,berd,bard,,,,,,,,,,,,,,,,cold
ms2oul,ms2ol,msioul,msaoul,mseool,msuoul,msooul,mseoyl,mseoul,msuol,ms2oyl,ms2ool,msuoyl,ms2ol,msaoyl,msyoul,msaool,msaol,msoul,ms2oul,responsible
kaml,kaaml,keml,kuml,kaml,,,,,,,,,,,,,,,,complete
Tibbi,,,,,,,,,,,,,,,,,,,,medical
skhoun,skhon,skhoun,,,,,,,,,,,,,,,,,,hot
mo8imm,mohimm,mo8imm,,,,,,,,,,,,,,,,,,essential
dakari,dekari,dukiri,dukeri,dokari,dykari,dukari,dokuri,dikuri,dikari,dakari,dukri,dukuri,dokeri,dkuri,dekeri,dkeri,dykeri,dkari,dykuri,male
awwali,awwali,iwwali,ewweli,ywwuli,wweli,wwali,ywweli,uwweli,iwwuli,owwali,uwwli,uwwili,owwuli,ywwali,owweli,wwuli,iwweli,ewwali,uwwuli,primary
madani,midani,myduni,mudeni,mduni,mdani,medani,medeni,mudni,miduni,mideni,madani,mdeni,moduni,muduni,modani,modeni,mydeni,mydani,mudini,civil
most9bali,most9bili,mostkbeli,most9beli,mostkbuli,mostqbuli,most9buli,most9bali,most9byli,most9boli,mostqbeli,mostkbali,mostqbali,most9bli,,,,,,,future
by2i,bi2i,by2i,byei,byai,byui,,,,,,,,,,,,,,,environmental
waD7,weDh,weD7,waDh,woD7,waD7,wD7,wyD7,wuD7,wuDh,wiD7,,,,,,,,,,obvious
lkbir,,,,,,,,,,,,,,,,,,,,senior
